0.010367252535491318 + 0.0im,6.893519574639483e-5 - 0.0002747958513561997im,0.028687150875775072 + 0.051223657102564366im,-0.947272382608243 - 0.6656390984676919im,-0.03984140795397341 + 0.027873267103642213im,0.00046354704116426484 + 0.00016928599801972782im
6.893519574639483e-5 + 0.0002747958513561997im,0.010334862315178134 + 0.0im,0.024989421751876968 - 0.023576060543722833im,0.0003853025389788438 - 0.0010030802781747132im,0.8264775610844116 + 0.7169420619737052im,-0.00011592485173756257 + 0.0011067695429445195im
0.028687150875775072 - 0.051223657102564366im,0.024989421751876968 + 0.023576060543722833im,0.010098798825705411 + 0.0im,0.012811595595174035 - 0.00615319987101335im,-0.0004879688589525359 - 0.004866129351659964im,-0.4718228313747241 + 0.4056527521528416im
-0.947272382608243 + 0.6656390984676919im,0.0003853025389788438 + 0.0010030802781747132im,0.012811595595174035 + 0.00615319987101335im,0.014980094064858725 + 0.0im,0.0008853735581121776 - 0.0024421128240846896im,0.024859278755495012 - 0.0066765103639623135im
-0.03984140795397341 - 0.027873267103642213im,0.8264775610844116 - 0.7169420619737052im,-0.0004879688589525359 + 0.004866129351659964im,0.0008853735581121776 + 0.0024421128240846896im,0.024860396553722335 + 0.0im,0.09053747053887108 + 0.12948787915039175im
0.00046354704116426484 - 0.00016928599801972782im,-0.00011592485173756257 - 0.0011067695429445195im,-0.4718228313747241 - 0.4056527521528416im,0.024859278755495012 + 0.0066765103639623135im,0.09053747053887108 - 0.12948787915039175im,-0.03682626403495253 + 0.0im
